@relation amp_5_istanbul-stock

@attribute time-index numeric
@attribute ISE-TL numeric
@attribute ISE-US numeric
@attribute SP numeric
@attribute DAX numeric
@attribute FTSE numeric
@attribute NIKKEI numeric
@attribute BOVESPA numeric
@attribute EU numeric
@attribute EM numeric

@data
281,0.005285,0.006211,0.017841,0.001945,0.00485,-0.007848,0.021482,0.002932,0.002296
282,0.008034,0.011155,0,0.014594,0.014715,0.00209,0,?,0.005947
283,0.02904,0.032506,0.004229,0.010003,0.006178,0.026803,0,0.01046,0.01031
284,-0.015579,-0.024484,0.006563,0.005662,0.00915,0.002796,0.008156,?,-0.002326
285,0.016436,0.012867,0.002184,0.007304,0.006197,-0.020736,-0.003529,0.006743,-0.008235
286,-0.013711,-0.007825,-0.001046,-0.005891,-0.001139,0.026984,?,?,0.008019
287,-0.02262,-0.032982,-0.012177,-0.014943,-0.006937,-0.004662,-0.016145,-0.011454,-0.001826
288,-0.034769,-0.043527,0.009674,0.002039,0.005217,-0.014916,-0.004746,0.003122,-0.006395
289,-0.018703,-0.020265,-0.002083,-0.014923,-0.012183,-0.009544,0.004943,-0.01405,-0.006928
290,0.019627,0.022167,0.001404,0.011882,0.014352,0.00238,?,0.013825,0.007746
291,0.029306,0.029827,0.010107,0.020342,0.009554,0.004535,0.010843,0.013642,0.011575
292,0.005696,0.008177,0.002328,0.010975,0.014362,0.004882,0.008163,0.010262,0.008284
293,0.004322,0.003799,0.000429,0.007128,0.008913,0.003057,-0.002038,0.008007,0.003712
294,-0.00501,-0.008726,0.003729,-0.003885,-0.001085,-0.010532,0.002569,?,-0.004067
295,0.022773,0.022576,0.01391,0.014057,0.01305,0.021765,0.015103,0.014754,0.010645
296,0.012668,0.022411,-0.000176,-0.000247,0.001231,0.020708,-0.003959,?,0.009756
297,-0.006335,-0.012297,0.001711,0.001697,-0.000785,-0.001727,0.014492,-0.000304,?
298,-0.003916,-0.002936,0.004514,0.008599,0.006813,?,0.005776,0.007955,0.002852
299,-0.007162,-0.005587,0.004033,-0.001364,-0.004139,0.009518,-0.001344,-0.003857,-0.002285
300,-0.002745,0.003557,-0.000217,0.002776,0.001476,0.00806,-0.007815,?,0.000028
301,-0.005021,-0.006337,0.000452,-0.007013,-0.005651,0.000067,-0.004582,-0.006703,-0.00754
302,0.02399,0.024779,0.007749,0.011357,0.004726,-0.002819,0.013212,?,0.006679
303,0.019908,0.027047,0.005805,0.008885,0.004297,?,-0.003136,0.005994,0.011753
304,-0.014267,-0.018504,-0.000326,-0.001989,-0.000354,-0.009536,-0.000373,-0.002991,-0.000119
305,-0.001822,-0.007749,-0.005099,-0.004982,0.001328,?,-0.012532,-0.001628,-0.001747
306,0.008487,-0.000333,?,0.000847,-0.000992,-0.004683,0.00309,-0.001587,-0.005959
307,0.008487,0.0092,?,0.00496,0.005142,0,?,0.006135,0.002049
308,0.014338,0.015643,-0.005508,0.003605,0.000758,0.003787,-0.006855,-0.000185,-0.00028
309,0.034021,0.034282,-0.001706,0.015437,0.008715,0.001277,-0.006858,0.009994,-0.000033
310,-0.007637,-0.002539,0.000737,-0.002106,-0.004304,0.015351,0.003515,-0.003365,0.004234
311,0.001016,0.002987,0.005667,0.005995,0.001349,?,0.018122,0.00164,0.006657
312,0.00152,0.0029,0.000043,-0.002342,-0.006747,0.010023,0.0003,-0.003988,0.003322
313,-0.003814,0.000009,-0.003278,0.001805,0.001286,-0.000649,0.005872,-0.000538,-0.001537
314,0.02048,0.023256,0.007387,0.013239,0.011432,0.013832,0.010798,0.011916,0.013452
315,0.006075,0.00667,0.007897,0,0.00616,0.003701,0.002163,0,0.001229
316,0.010027,0.011554,0,0,0,0.004704,0,0,0.004452
317,-0.004077,-0.001357,0.001683,0.002667,0,-0.005038,-0.002725,0.00525,0.002949
318,0.004088,0.011302,-0.005894,-0.004778,-0.003171,0.000931,-0.004271,-0.003953,0.003125
319,-0.003991,-0.006801,0.003369,-0.008162,-0.00861,-0.011098,0.013915,-0.009357,-0.003627
320,0.013151,0.023088,0.006662,0.012538,0.010154,0.003231,-0.00514,0.01349,0.003942
321,-0.006163,-0.003594,0.001765,0.000158,0.001143,0.004236,-0.011308,0.002303,-0.005179
322,-0.012768,-0.016214,0.000685,-0.003182,-0.002756,-0.008091,0.002518,-0.003337,-0.003799
323,0.021379,0.028146,0.011088,0.007606,?,0.003905,0.003427,0.006187,0.007507
324,-0.00465,-0.003291,0.000842,0.002076,0.004939,0.006129,-0.00722,0.003595,0.000005
325,-0.014181,-0.011798,-0.016258,-0.017728,-0.014003,-0.015339,-0.015764,-0.015113,-0.012591
326,-0.001212,-0.014212,0.004511,?,-0.002807,-0.017574,-0.004664,?,-0.015519
327,0.012527,0.016708,0.008026,0.016383,?,-0.000742,0.003179,0.012065,0.008943
328,-0.007419,-0.003766,-0.001019,-0.005418,-0.010481,0.017223,0.000981,?,0.002516
329,-0.001926,-0.00118,0.002261,-0.009946,-0.010203,-0.012792,0,-0.0129,-0.00318
330,0.012009,0.015476,0.002793,?,0.015518,0.019598,-0.007435,0.015972,0.008768
331,-0.014084,-0.017619,-0.02366,-0.027635,-0.026486,0.004189,-0.034882,-0.029022,-0.011889
332,-0.004896,-0.020579,0.006442,-0.012279,-0.003021,-0.026009,0.002178,-0.011823,-0.009723
333,0.013199,?,0.01286,0.009906,0.005569,0.012065,0.019639,0.01236,0.002971
334,0.004356,0.008757,-0.016788,-0.0015,-0.011548,0,-0.006612,-0.006069,0.004165
335,-0.009524,?,0.013035,0.005075,-0.02594,-0.033259,-0.006105,0.000863,-0.007587
336,-0.018303,-0.021594,-0.024127,-0.026297,?,0,-0.034097,-0.030722,-0.012506
337,-0.015818,?,-0.006608,-0.008092,-0.012871,0,0.000693,-0.013654,-0.013384
338,-0.012077,-0.024922,-0.032888,-0.008459,-0.01526,?,-0.023379,-0.017706,-0.013554
339,-0.056753,-0.076967,-0.015427,-0.033241,-0.026581,-0.031446,-0.0086,-0.033875,-0.014725
340,0.068952,0.100621,0.043035,0.05163,0.050323,0.0159,0.040247,0.067042,0.025318
341,0.000243,-0.01062,-0.003403,0.003285,-0.009924,-0.011422,-0.015831,-0.007265,-0.006566
342,0.026474,0.030999,0.013646,0.023858,0.0092,-0.001641,0.012326,0.012905,0.007167
343,-0.000808,0.00619,-0.012219,0.011014,0.009282,?,-0.006707,0.003241,0.00578
344,-0.03839,-0.04644,-0.018979,-0.03173,-0.031938,-0.014992,-0.021467,-0.035458,-0.01105
345,0.005781,-0.00344,0.001109,0.001684,?,-0.021911,-0.008648,-0.000552,-0.013754
346,0.016049,0.021206,-0.014298,0.014565,0.008477,0.000672,-0.032742,0.01374,-0.002419
347,-0.045389,-0.073526,-0.044899,-0.047922,-0.045131,-0.020948,-0.044516,-0.046421,-0.036375
348,-0.006232,-0.008073,0.014913,-0.006605,-0.002013,-0.024808,0.034904,-0.000834,0.001124
349,0.008219,0.015165,-0.012992,-0.004052,0.001322,-0.002675,-0.005725,-0.001939,0.00511
350,-0.043092,-0.057319,0.000354,-0.023641,-0.025755,-0.031068,-0.012276,-0.026448,-0.02759
351,0.034724,0.043782,-0.005677,0.015397,0.019522,0.006613,0.016855,0.019346,0.021562
352,0.007264,0.014993,0.032347,0.030634,0.030706,?,0.031111,0.029857,0.017184
353,0.01341,0.019389,-0.012452,0.001521,-0.00131,0.012706,-0.002338,-0.000867,0.007176
354,-0.015486,-0.025179,-0.017314,?,-0.004849,0.000586,0.017601,-0.000317,0.011325
355,0.001386,-0.007133,0,0.002836,0,-0.005839,-0.019314,-0.002435,-0.015882
356,0.013716,0.017967,0.025514,?,-0.002327,-0.011244,?,0.000556,0.003444
357,0.00352,0.008177,0.004043,0.012202,0.011561,0.031867,-0.020335,0.012311,0.011455
358,-0.014439,-0.021635,-0.035017,-0.019303,-0.016485,-0.001312,0,?,-0.006233
359,-0.005624,-0.015977,-0.013624,?,-0.011162,-0.039176,-0.008026,-0.00947,-0.015968
360,-0.011897,-0.014533,0.010916,-0.006183,-0.008121,0.001799,0.01094,-0.008125,0.000724
361,0.011866,0.015006,-0.005959,0.019607,0.01143,-0.010414,-0.006113,0.015901,0.001733
362,0.010203,0.012653,0.02908,0.011932,0.009121,0.010907,0.025217,0.015174,0.01002
363,0.004906,0.015163,0.00437,-0.001447,0.006061,0.016896,0.00878,0.00707,0.008774
364,0.010056,?,-0.001806,0.012679,0.007409,0.01783,-0.001133,0.011863,?
365,0.013068,0.007568,0.023222,0.008138,0.003013,0.000813,0.014206,0.006594,0.007188
366,-0.000326,0.005878,-0.000556,0.002565,0.003845,0.017967,0.004784,0.000989,0.003333
367,?,0.010799,0.001282,0.005257,0.00305,-0.006753,-0.003248,0.002465,0.002606
368,?,0.006837,0.001316,-0.001055,-0.00059,-0.000438,-0.001597,0.002212,0.002135
369,0.004246,0.008194,-0.003864,0.012149,?,0.02402,0.00605,0.009956,0.017327
370,-0.004728,-0.011255,-0.016201,-0.00381,-0.009881,-0.012296,-0.000278,-0.007961,-0.006913
371,-0.019496,-0.022131,-0.00299,-0.010345,-0.013141,-0.018885,0.00537,-0.013176,-0.002068
372,0.000166,-0.008024,-0.016946,-0.014455,-0.015236,0.000467,-0.018948,-0.017801,-0.006717
373,-0.00092,-0.003591,0.002855,-0.007366,-0.010585,-0.019411,0.013778,-0.007954,-0.002311
374,0.010132,0.016951,-0.002036,0.014168,0.004981,-0.004481,-0.009283,?,0.00054
375,-0.021816,-0.028443,-0.031508,-0.033893,-0.031547,-0.012798,-0.035613,-0.034903,-0.021033
376,-0.00683,-0.006195,-0.010164,0.002264,0.000549,-0.019842,-0.016955,0.002202,-0.006962
377,?,-0.007678,-0.003246,-0.018285,-0.022855,-0.020571,0.004911,-0.022402,-0.00682
378,0.020009,?,-0.004673,-0.003982,0.006699,0.001317,0.003163,0.003561,0.000514
379,0.00142,0.007375,0.005345,-0.003081,-0.003022,0.006829,-0.00924,-0.003739,-0.000927
380,0.019062,0.022923,0,0.021227,0.028913,0.00766,0.019524,0.026363,0.015587
381,0.00019,-0.000714,0.03085,0.008695,0.00998,-0.006273,0.01945,0.012938,0.000987
382,0.009585,0.015336,0.009369,0.007116,0.017925,0.027223,0.003029,0.012233,0.007505
383,-0.003401,-0.002367,0.007178,0.004889,0.005352,0.005186,-0.008162,0.005906,0.008606
384,0.007304,0.002454,0.000733,0.001968,0.006621,-0.00389,0,0.00392,0.002228
385,0.012237,0.012557,0.015262,0.018575,0.019928,-0.00114,0.011465,0.018808,0.003911
386,0.000389,0.009664,-0.000155,0.003005,?,0.026693,-0.003256,-0.000073,0.003616
387,-0.010542,-0.007802,?,?,-0.008065,-0.011264,0.000158,-0.009217,-0.00487
388,0.000683,0.004744,-0.029243,-0.017899,-0.010106,-0.029034,-0.018279,-0.015675,-0.006473
389,?,0.00161,0.005964,-0.005172,-0.002057,-0.011535,0.015251,-0.0034,0.000105
390,0.001949,0.00489,0.011352,-0.00695,-0.001711,0,0.018253,-0.003203,0.007197
391,0.021524,0.02704,-0.012903,0.003828,0.014507,-0.002328,0.000217,0.009445,?
392,0.007115,?,0.022264,0.02502,0.018845,-0.006265,0.019521,0.021511,0.006189
393,-0.0104,-0.006502,0.008186,0.003931,-0.000226,0.022527,0.008707,0.000941,0.007336
394,0.003504,0.002977,0.011138,0.00451,0.007221,0.007679,0.001808,0.006502,0.002304
395,0.013707,0.018681,-0.00105,0.002113,0.002725,-0.000717,0.003471,0.005502,0.002007
396,0.001249,0.00258,-0.006946,-0.004581,-0.00861,0.026642,0.002008,-0.004555,0.000772
397,0.005497,0.005429,-0.004167,-0.007186,-0.001072,-0.005887,0.002183,-0.003208,0.001432
398,-0.014436,-0.015302,0.000064,0.002161,-0.010594,-0.016505,0.008344,-0.006166,-0.003295
399,0.013711,0.022125,0.021784,0.023178,0.026111,0.003455,0.014732,0.025195,0.015749
400,-0.01018,-0.006415,-0.004808,0.002505,-0.000111,?,-0.007618,0.000501,-0.002498
401,-0.003298,-0.008066,0.006033,0.003706,-0.00191,-0.021339,0.004036,0.000769,0.001574
402,-0.004646,-0.005919,-0.001269,0.000355,-0.003795,0.017195,0.002049,-0.001961,-0.00064
403,0.002511,0.005731,-0.003711,-0.011745,-0.006244,-0.001223,-0.004644,?,-0.001846
404,0.002217,0.008208,0.005468,0.014586,0.01454,-0.007248,-0.003428,0.013368,0.003612
405,-0.012029,-0.017888,-0.005985,-0.010342,-0.006323,-0.002242,-0.009461,-0.007753,-0.009966
406,-0.017302,-0.025659,-0.028583,-0.021251,-0.024706,-0.027406,-0.021548,-0.02491,?
407,0.003931,-0.003832,-0.005393,-0.003076,0.003977,-0.008674,0.002672,0.000432,-0.005319
408,0.001646,0.006947,-0.004032,-0.004044,0.001764,0.004427,0.004507,-0.000209,?
409,0.005847,0.006579,0.00012,0.000026,0.000133,-0.006156,?,-0.00069,0.003266
410,0.010823,0.020238,0.012118,0.015561,0.014003,-0.003812,0.013136,0.014232,0.004806
411,-0.000328,-0.000327,0.001482,-0.003242,-0.008936,0.008571,0.000799,-0.004438,0.000131
412,-0.010044,?,-0.01708,-0.018135,-0.017424,0.013131,-0.011165,-0.016559,0.001139
413,-0.001692,-0.009961,-0.00367,-0.011584,-0.003075,-0.019772,-0.003145,-0.009876,-0.002496
414,0.002389,-0.000396,-0.004049,0.000957,0.007574,-0.006853,-0.010478,0.005666,-0.001468
415,-0.004549,-0.013976,-0.014619,-0.012635,-0.015168,-0.013422,-0.012598,-0.01537,-0.009731
416,-0.005775,-0.00229,0.003284,-0.006074,-0.009079,-0.016788,-0.005432,-0.009329,-0.009662
417,?,0.015275,-0.007714,0.002215,0.00904,0.006883,?,0.00841,-0.000755
418,?,0.005853,?,0.006506,0.008844,0.009452,0.026544,0.008338,0.005081
419,0.010504,0.006812,-0.014438,?,0.004527,-0.018749,-0.006731,0.000376,0.002005
420,0.011817,0.015376,0.029078,0.026428,0.026664,0.011601,0.029166,0.028945,0.014405
421,0.002966,0.009658,?,-0.000008,0.000857,0.0151,-0.003959,0.000777,0.003654
422,0.002185,0.006114,0.013132,0.00831,0.010575,0.005643,-0.001933,0.009502,0.00505
423,0.001673,0.005548,-0.011537,0.003323,0.002043,0.02033,0.001019,0.002651,?
424,-0.005814,-0.012223,?,-0.006054,-0.00579,-0.008131,-0.005107,-0.007761,-0.001897
425,-0.002285,-0.002285,0.006418,0.00758,0.004042,-0.022071,0,0.00618,-0.003641
426,0.026893,?,0.020741,0.015651,0.024703,0.032404,0.024161,0.020396,0.022419
427,0.003509,0.000956,-0.000713,0.00219,0.000341,-0.002418,-0.004995,0.000485,0.000166
428,0.014598,0.018699,0.003535,-0.00216,-0.002122,0.023093,0.006112,-0.003291,0.003323
429,0.005272,0.006212,-0.000364,?,-0.002794,-0.000742,-0.00654,-0.003386,-0.004883
430,0.002025,-0.000664,0.000827,-0.006403,-0.00572,0.012186,-0.008519,-0.00512,0.003107
431,0.006672,0.006604,0.015095,0.013567,0.016921,-0.002494,0.016278,0.014511,0.006771
432,-0.002567,0.000326,-0.002567,-0.002959,-0.004705,0,-0.006931,-0.002636,0.000792
433,0.005512,0.010378,-0.004837,-0.010838,-0.004367,-0.003734,0.008909,-0.00954,0.000318
434,-0.004454,-0.00689,-0.008366,-0.003812,-0.000865,?,0.006841,-0.004188,?
435,0.000761,0.002315,?,0.0182,0.009223,0,-0.008731,0.013606,0.001377
436,0.005988,0.01278,-0.005684,-0.003087,-0.004493,0.013785,0.00905,?,0.005534
437,0.014784,0.015942,0.004839,-0.000446,0.000897,-0.011245,0.005969,0.00013,-0.000966
438,-0.000587,0.010183,-0.002591,-0.004659,-0.001633,0.006677,0,-0.003723,0.006145
439,0.003396,0.008789,-0.003088,-0.00287,-0.003724,-0.020079,0.002914,?,0.003512
440,-0.013649,-0.010597,0.004407,-0.002842,0.007952,0.003716,0.011442,?,0.005175
441,0.008169,0.008242,-0.008067,-0.012495,-0.00662,-0.002467,0.002219,-0.008419,0.004925
442,0.013186,0.01131,0.020647,0.013218,0.014261,0.014572,0.012678,0.015771,0.003482
443,0.008959,0.027594,-0.000672,0.008794,0.008059,0.017977,-0.010464,0.007365,?
444,-0.001807,0.000886,-0.001648,0.00088,-0.003403,-0.000683,-0.008871,0.000078,-0.005292
445,0.006841,0.000196,0.006104,0.002454,-0.000795,-0.009955,0.012663,-0.000716,0.000977
446,0.026176,0.037795,0.000146,0.002831,0.002613,-0.021104,0.001933,0.003024,0.003226
447,0.009737,0.000374,0.003811,-0.000783,-0.001906,0,0.010223,-0.002812,-0.004085
448,0.007034,0.015684,0.007096,0.020402,0.015041,0.001583,0,0.016923,0.011802
449,-0.013504,-0.004129,-0.003648,0.00322,?,0.018961,0.000237,-0.002618,0.005035
450,0.012568,0.007688,0.002026,?,-0.004164,-0.008726,0.001923,-0.000851,-0.003162
451,0.005076,-0.008141,0.007218,0.003741,0.006832,-0.000185,-0.00131,0.003827,-0.005228
452,-0.008828,-0.007696,-0.016005,-0.003989,-0.006745,0.004303,-0.026442,-0.004753,-0.006034
453,-0.006813,-0.011327,0.010469,0.005203,0.004373,-0.016686,0.007714,0.004382,0.000442
454,?,0.022096,0.001772,0.013164,0.005049,-0.000546,-0.010753,0.008505,0.004985
455,0.007868,0.001796,0.002386,-0.000782,-0.00287,0.005343,-0.001753,-0.002511,0.000089
456,-0.001169,0.008521,0.002145,0.005039,0.001845,-0.002714,0.000719,0.002497,0.006881
457,-0.0025,-0.006402,0.000017,-0.003835,-0.007802,-0.002533,0.016534,-0.00624,0.00283
458,-0.030981,?,?,-0.006949,-0.010799,0.001029,-0.00242,-0.007758,-0.010152
459,0.007058,0.014433,0.001631,0.005596,0.008571,-0.025059,0.013959,0.00424,0.014254
460,-0.008025,-0.001307,0.007729,0.007459,0.010968,0.000574,0.004796,0.007955,0.000466
461,0.001202,0.007039,0.003671,-0.005502,-0.00146,0.021471,0,?,0.005992
462,0.032986,0.04267,0.019099,0.017509,0.019601,0,0.015059,0.016419,0.010737
463,-0.001782,-0.004374,0.003915,0.002893,?,0.028152,-0.005343,-0.001128,0.004166
464,0.002285,-0.005734,-0.002123,-0.000548,-0.004332,0.011047,0.000688,?,0.003128
465,0.008453,0.008523,-0.008085,0.005512,0.004298,-0.003956,-0.013552,0.005811,-0.001644
466,?,?,0.004367,-0.010064,-0.009973,0.013934,-0.000572,-0.010571,-0.002221
467,-0.00677,-0.011877,-0.004251,0.000531,-0.000292,0.003142,-0.006203,-0.003419,-0.007653
468,-0.007618,-0.017337,-0.011879,0.001664,-0.003152,-0.013954,-0.011698,-0.002617,-0.011377
469,0.006377,0.006379,-0.001218,?,0.004046,0.010505,-0.010486,0.006972,-0.001439
470,-0.030042,-0.035633,0.000075,0.004684,-0.024277,0.028853,0,-0.013762,-0.001828
471,-0.023702,-0.037541,-0.014387,-0.017306,-0.01767,-0.008447,-0.024422,-0.020006,-0.0153
472,0.013406,-0.000449,0.014813,0.017563,?,?,0.024365,0.010219,0.00559
473,-0.001218,0.003535,-0.007497,0.008153,0.007362,0.004938,-0.003842,?,0.000367
474,-0.015021,-0.023631,0,-0.004469,-0.005313,-0.003996,?,-0.005823,-0.009088
475,-0.031881,-0.034779,-0.00138,-0.022295,-0.020982,0.008572,-0.004672,-0.020119,0.000543
476,0.01976,0.011179,-0.006089,-0.001416,-0.004098,-0.018836,-0.002994,-0.005514,-0.004998
477,0.012248,0.019146,0.021387,0.026285,0.020447,0.00512,0.023948,0.022417,?
478,0.011764,0.016953,0.012737,0.013163,0.021929,0.017907,0.002607,0.019,0.011648
479,-0.001179,0.004103,0.0026,-0.001422,-0.003874,0.000963,0.003432,-0.001359,0.002134
480,0.012661,0.010357,-0.001299,0.000958,0.004342,-0.00109,-0.003072,-0.000185,0.002951
481,0.00238,0.008157,0.000515,0.006811,?,-0.002573,-0.003082,0.008135,0.001069
482,-0.002491,-0.012462,0.003695,-0.003726,-0.002413,0.008956,-0.016915,0.001569,-0.00765
483,-0.026805,-0.031853,0.003835,-0.00168,0.002327,0.00522,-0.004351,0.002307,0.000968
484,-0.017676,-0.02009,0.005984,0.006014,0.000861,-0.007213,?,0.000681,-0.000892
485,0.024729,0.022188,0.000048,0.003309,0.008189,?,0.011406,0.005687,0.00515
486,0.001946,?,0.000911,?,0.005174,0.00222,-0.005556,0.002945,0.002971
487,-0.01531,-0.026703,-0.005136,-0.001571,-0.001529,-0.000678,-0.012781,-0.003067,-0.005434
488,-0.016467,-0.019641,?,0.001144,-0.000187,0.000146,-0.008345,0.000571,-0.005281
489,-0.014151,-0.016985,0.000836,-0.00599,-0.001583,-0.000724,0.009979,-0.003573,0.003626
490,-0.000356,-0.017392,0.002545,0.005164,0.003366,-0.00852,-0.010603,0.003738,?
491,0.020544,0.018217,0.006012,0.008426,0.010166,0.014973,0.014039,0.010557,0.009469
492,0.009528,0.012177,0.003374,?,0.005312,-0.002322,0.003746,0.001131,0.001327
493,0.01183,0.012479,-0.001646,-0.001448,0.002104,-0.006525,0.000219,0.000888,-0.000208
494,0.00073,0.004233,0.000612,-0.012398,0.002132,0,-0.010023,0.000183,-0.002475
495,0.001346,0.000634,0,0,-0.002082,0.007444,0,-0.005861,-0.002417
496,0.001285,0.000438,0.000771,0.000197,0,-0.006137,0.003504,?,-0.000196
497,0.004171,-0.005582,0.001009,0.003346,0,0.005031,0.0133,0.001923,0.007861
498,0.001535,0.008438,-0.001509,-0.011687,-0.004245,-0.01124,0.005106,-0.009191,0.003314
499,?,-0.006861,-0.000191,0,-0.011979,0.016404,0.009435,-0.006158,0.002789
500,0.024002,0.017515,0.011251,0.010868,0.019138,0,0,0.009633,?
501,0.00904,0.011048,?,-0.002061,0,?,0.005076,0.006577,0.004239
502,0.00886,0.01178,0.004995,-0.005107,0.004976,-0.001668,0.010933,-0.000548,-0.00118
503,0.006982,0.00685,-0.002125,?,-0.004045,0.01425,-0.007228,-0.00062,-0.002646
504,-0.007835,-0.018755,-0.001847,-0.004817,-0.005865,0.001071,-0.007423,-0.005461,-0.00682
505,-0.013109,-0.026325,-0.001377,-0.013152,-0.00469,-0.002884,0.000999,-0.009846,-0.006709
506,-0.003035,0.001795,0.003718,0.012249,0.009641,0,0.004212,0.012638,0.004773
507,0.003761,0.009064,0.008967,0.01816,0.006084,0.000202,0.017036,0.014397,0.011872
508,0.009547,0.016298,-0.001712,0.000895,-0.004439,0.007294,-0.012813,-0.000367,-0.002109
509,-0.010199,-0.0047,0.007357,0.000083,-0.003625,-0.008604,0.003092,-0.000761,?
510,-0.015563,-0.015368,0.001375,0.000333,-0.002736,0.000364,-0.004677,-0.002147,-0.004537
511,-0.006049,0.00458,0,0.009196,0.011742,0.001534,0.004395,0.010995,0.002406
512,0.000521,?,-0.010167,-0.008532,-0.013247,0.003617,-0.012229,-0.010645,0.001086
513,-0.017835,-0.031652,-0.001296,-0.008292,-0.018372,-0.011412,-0.007105,-0.010088,-0.010442
514,0.009744,-0.000511,?,0.005416,0.004828,-0.01572,-0.006186,0.008396,-0.006854
515,-0.011067,-0.007426,0.005819,0.000757,0.00804,0.006847,0.004244,0.004158,-0.001145
516,-0.000749,0.004639,0.000263,-0.00124,-0.004418,0.011467,-0.010396,-0.004044,-0.000885
517,0.012326,0.005404,0.004212,0.009635,0.008665,-0.005992,0,0.007097,0.005019
518,-0.014082,-0.014976,?,0.003953,-0.000687,0.007352,-0.009623,0.001919,-0.001149
519,-0.028498,-0.038599,-0.018014,-0.007403,-0.014131,-0.011356,-0.020082,-0.010478,-0.009912
520,0.001056,-0.008883,0.007633,-0.003571,-0.00315,-0.011887,-0.001846,-0.00265,-0.005789
521,0.024116,?,0.016556,0.014976,0.016057,0.003567,0.018926,0.015089,0.006224
522,0.007447,0.014239,-0.002726,-0.000084,?,0.017641,-0.01723,0.001618,0.003631
523,-0.024478,-0.02785,0.002351,0.001392,-0.002804,-0.002489,0.001154,?,0.000476
524,0.024507,0.013959,0.00288,0.003127,0.002354,0.010695,-0.022662,0.002761,-0.003185
525,-0.006196,0.008553,0.006221,0.009298,0.008898,0.004591,0.001424,0.008217,-0.003346
526,0.005356,0.006886,0.004176,0.005425,0.006638,0.00414,0.006238,0.00398,-0.004499
527,0.004823,?,-0.00279,-0.00032,-0.006423,-0.001708,-0.023895,-0.003024,-0.014249
528,-0.017664,-0.024921,0.000749,0.002644,-0.005351,-0.001148,0.00559,-0.003742,-0.01476
529,0.004782,0.006418,0.005492,0.004204,0.007101,?,?,0.004727,0.003931
530,-0.002498,?,0.002382,0.003444,-0.000462,0,0.012123,0.000169,0.013448
531,0.003606,?,?,0.000461,-0.003803,0.001968,-0.003266,-0.00055,-0.00143
532,0.008599,0.0134,0.006238,0.001925,0.007952,0.005717,0.018371,0.006975,0.003039
533,0.00931,0.015977,0.003071,-0.001186,0.000345,0.00262,0.001686,-0.000581,0.001039
534,0.000191,-0.001653,0.001923,0.002872,-0.000723,0.000568,?,0.000572,?
535,-0.013069,-0.013706,-0.020742,-0.014239,-0.011275,0.001358,-0.011942,-0.012615,-0.000958
536,-0.007246,-0.019442,0,-0.000473,-0.002997,-0.01792,-0.012252,-0.005465,?
